table,famille,colonne,definition,source,type
membres,actions_secteurs (§6),sect_financials,part du notional d'achat en Financials (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_health,part du notional d'achat en Health Care (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_industrials,part du notional d'achat en Industrials (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_conso_disc,part du notional d'achat en Consumer Discretionary (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_comm,part du notional d'achat en Communication Services (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_conso_stap,part du notional d'achat en Consumer Staples (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_energy,part du notional d'achat en Energy (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_materials,part du notional d'achat en Materials (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_real_estate,part du notional d'achat en Real Estate (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_utilities,part du notional d'achat en Utilities (Σ des 12 = 1),§6,float
membres,actions_secteurs (§6),sect_nc,part du notional d'achat en secteur GICS manquant (Σ des 12 = 1),§6,float
membres,risque_perf (§7),cagr,croissance annualisée : NAV^(252/T) − 1,§7,float
membres,risque_perf (§7),vol,volatilité annualisée : σ(r_m)·√252,§7,float
membres,risque_perf (§7),sharpe,rendement par unité de risque : r̄/σ·√252,§7,float
membres,risque_perf (§7),sortino,"comme le Sharpe, seule la vol de baisse pénalise : r̄/σ(r⁻)·√252",§7,float
membres,risque_perf (§7),maxdd,pire perte depuis un sommet : min(NAV/cummax − 1),§7,float
membres,risque_perf (§7),t_sharpe,t de Student du Sharpe : sharpe·√(T/252),§7,float
membres,risque_perf (§7),ir,information ratio vs SPY,§7,float
membres,risque_perf (§7),t_ir,t de Student de l'IR : IR·√(T/252),§7,float
membres,risque_perf (§7),beta,sensibilité au marché : pente de la régression r_m ~ r_SPY,§7,float
membres,risque_perf (§7),alpha_ann,reste annualisé une fois l'effet marché retiré : (1+α)^252 − 1,§7,float
membres,risque_perf (§7),appraisal,alpha / risque résiduel : α/σ_ε·√252,§7,float
membres,risque_perf (§7),t_appr,t de Student de l'appraisal : appraisal·√(T/252),§7,float
membres,risque_perf (§7),exces_cagr_spy,CAGR_m − CAGR_SPY (même fenêtre),§7,float
membres,risque_perf (§7),eligible,n_trades ≥ 10 et T ≥ 126 j (seuils du §0.1),§7,bool
membres,track_record (§8),n_trades_evalues,# achats avec x_j calculable,§8,int
membres,track_record (§8),hit_rate,P(x_j > 0) : part des achats qui battent le marché,§8,float
membres,track_record (§8),exces_moyen_trade,moyenne des x_j,§8,float
membres,track_record (§8),exces_med_trade,med(x_j),§8,float
membres,track_record (§8),ret_brut_moyen_trade,moyenne des rendements bruts par achat,§8,float
membres,track_record (§8),profit_factor,"Σ excès gagnés / Σ excès perdus, plafonné à 10",§8,float
membres,track_record (§8),t_exces_trade,t de Student de l'excès moyen : x̄/(σ_x/√n),§8,float
membres,comportement (§9),part_ci_achats,P(secteur du titre ∈ juridiction des comités du membre | achat),§9,float
membres,comportement (§9),part_trades_repetes,P(ticker déjà tradé avant par le membre),§9,float
membres,comportement (§9),part_coachat,"P(achat dans un (ticker, mois) à ≥3 acheteurs)",§9,float
tickers,identite (§10),description,"mode(asset_description), 80 caractères",§10,str
tickers,identite (§10),asset_class,mode (action / ETF),§10,str
tickers,identite (§10),is_broad_etf,ETF large (type S&P 500),§10,bool
tickers,identite (§10),sector_gics,mode,§10,str
tickers,identite (§10),etf_proxy,mode (ETF sectoriel correspondant),§10,str
tickers,identite (§10),is_delisted,titre sorti de la cote,§10,bool
tickers,identite (§10),delist_type,mode (rachat/faillite/recyclage),§10,str
tickers,identite (§10),flag_price_caution,série de prix à manier avec prudence,§10,bool
tickers,flux_congres (§10),n_trades_brut,# trades 𝒯^brut,§10,int
tickers,flux_congres (§10),n_trades,# trades 𝒯,§10,int
tickers,flux_congres (§10),n_buy,# achats,§10,int
tickers,flux_congres (§10),n_sell,# ventes,§10,int
tickers,flux_congres (§10),notional_buy,Σ A_j achats,§10,float
tickers,flux_congres (§10),notional_sell,Σ A_j ventes,§10,float
tickers,flux_congres (§10),notional_net,"achats − ventes, en $",§10,float
tickers,flux_congres (§10),n_membres,# membres distincts,§10,int
tickers,flux_congres (§10),n_membres_buy,# acheteurs distincts,§10,int
tickers,flux_congres (§10),n_membres_sell,# vendeurs distincts,§10,int
tickers,flux_congres (§10),part_dem,part du notional d'achat venant de Démocrates,§10,float
tickers,flux_congres (§10),part_senate,part des trades venant du Sénat,§10,float
tickers,flux_congres (§10),part_conjoint,part des trades owner = conjoint,§10,float
tickers,flux_congres (§10),part_ci_achats,part des achats alignés comité×secteur,§10,float
tickers,flux_congres (§10),first_trade,min(τ_j),§10,date
tickers,flux_congres (§10),last_trade,max(τ_j),§10,date
tickers,flux_congres (§10),n_mois_actifs,"# (année, mois) avec ≥1 trade",§10,int
tickers,flux_congres (§10),coachat_max,record mensuel d'acheteurs distincts,§10,int
tickers,flux_congres (§10),top_membres,"top-3 bioguide_id par notional, séparés par |",§10,str
tickers,marche (§11),px_couvert,ticker avec série de prix exploitable,§11,bool
tickers,marche (§11),px_first,1re cotation observée,§11,date
tickers,marche (§11),px_last,dernière cotation observée,§11,date
tickers,marche (§11),px_n_obs,# jours cotés,§11,int
tickers,marche (§11),adv_med,"volume d'échanges médian, $/jour (liquidité)",§11,float
tickers,marche (§11),vol_ann,volatilité annualisée du titre,§11,float
tickers,marche (§11),beta_spy,sensibilité au marché (≥126 jours communs),§11,float
tickers,marche (§11),cagr_fenetre,croissance annualisée sur la fenêtre observée,§11,float
tickers,marche (§11),maxdd,pire perte depuis un sommet,§11,float
tickers,marche (§11),ret_total,rendement total sur la fenêtre observée,§11,float
tickers,apres_achats (§11),exces_21j_moy,excès moyen vs SPY à 21 j après les achats du Congrès,§11,float
tickers,apres_achats (§11),exces_63j_moy,idem à 63 j,§11,float
tickers,apres_achats (§11),n_achats_evalues,# achats avec fenêtre 21 j complète,§11,int
membres_annees,panel (§12),n_trades,# trades de l'année,§12,int
membres_annees,panel (§12),n_buy,# achats,§12,int
membres_annees,panel (§12),buy_share,part d'achats,§12,float
membres_annees,panel (§12),notional,Σ A_j,§12,float
membres_annees,panel (§12),n_tickers,# tickers distincts,§12,int
membres_annees,panel (§12),sect_dom,mode GICS,§12,str
membres_annees,panel (§12),n_days,# jours actifs de r_m dans l'année,§12,int
membres_annees,panel (§12),vol,σ(r_m)·√252 (NaN si <40 j),§12,float
membres_annees,panel (§12),sharpe,r̄/σ·√252 (NaN si <40 j),§12,float
membres_annees,panel (§12),ret_annee,Π(1+r_m) − 1 (NaN si <40 j),§12,float
membres_annees,panel (§12),exces_spy_annee,ret_annee − ret_SPY (mêmes jours),§12,float
